r0_m,T0_K,n0,u0_mps,Q_kgps,zmax_m,ok
100.0,1373.0,0.04,77.27320370373363,8378219.245477823,13914.321106641572,True
100.0,1373.0,0.05,96.73413638886717,8392908.19879189,13901.134967615391,True
100.0,1373.0,0.03,58.15177718214093,8402813.623833524,13926.426798013015,True
150.0,1373.0,0.05,43.37484581671147,8467460.438466202,13926.173558629378,True
50.0,1373.0,0.05,392.5,8513583.185317345,13933.303263615784,True
50.0,1373.0,0.04,314.5,8524785.522045922,13904.474994544811,True
50.0,1373.0,0.03,236.438125,8541207.14024285,13909.058686939108,True
100.0,1273.0,0.04,82.22401593053709,9614316.404670434,13943.177528074757,True
100.0,1273.0,0.05,102.86517320224607,9625147.810810493,13926.844282643702,True
100.0,1273.0,0.03,61.917000165157255,9648346.690356743,13944.202984134408,True
150.0,1273.0,0.05,46.095219421940755,9704595.779274184,13919.17707806727,True
50.0,1273.0,0.04,333.625,9752553.053410625,13937.37686432299,True
50.0,1273.0,0.03,251.06875000000002,9780828.918766271,13931.264282208218,True
100.0,1173.0,0.05,108.99621001562498,11067229.912620565,13900.493388959567,True
100.0,1173.0,0.04,87.43539722190917,11093906.266808916,13927.257414456213,True
50.0,1173.0,0.04,351.25,11141753.511815136,13917.1360888963,True
50.0,1173.0,0.03,267.325,11300085.271676006,13924.62499354098,True
50.0,1073.0,0.04,377.5,13088494.429908726,13923.670852460777,True
100.0,1073.0,0.04,94.6904574510742,13132243.972597552,13900.731502146447,True
50.0,1073.0,0.03,289.0,13352228.766567327,13913.180512031293,True
100.0,1073.0,0.05,121.01785082617187,13431532.084283067,13946.832237903423,True
100.0,1173.0,0.03,67.91998722114502,11484173.156271704,13958.902799867426,False
150.0,1373.0,0.04,48.35599865831784,11796568.061680444,14811.937837004427,False
150.0,1173.0,0.05,55.14073252986177,12597448.295076782,14227.04915286979,False
100.0,1073.0,0.03,80.04158037345697,14792159.05860184,14168.391291928474,False
150.0,1273.0,0.04,58.7094518101593,15445795.104195124,15410.657046130946,False
150.0,1073.0,0.05,67.3316711300487,16814270.485880584,14559.41690240735,False
150.0,1173.0,0.04,69.38356769286744,19807804.928223263,15754.866798920251,False
150.0,1373.0,0.03,66.0983342167719,21489918.673369847,17227.994118377326,False
150.0,1073.0,0.04,82.82200157676387,25844073.52795309,16052.531853015478,False
150.0,1273.0,0.03,75.8781159141854,26603700.515952993,17582.807563104605,False
150.0,1173.0,0.03,87.83150969962252,33414502.730055,17902.15915842448,False
150.0,1073.0,0.03,102.8023061255464,42746571.564258926,18148.43636527872,False
50.0,1073.0,0.05,,,13486.543699547989,False
50.0,1173.0,0.05,,,13691.13588015348,False
50.0,1273.0,0.05,,,13856.77042295673,False
